"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.08.2026","3.083,00","3.083,00","3.083,00","3.083,00","","-0,19%"
"07.08.2026","3.089,00","3.089,00","3.089,00","3.089,00","","1,05%"
"06.08.2026","3.057,00","3.057,00","3.057,00","3.057,00","","-0,20%"
"05.08.2026","3.063,00","3.063,00","3.063,00","3.063,00","","4,33%"
"04.08.2026","2.936,00","2.936,00","2.936,00","2.936,00","","3,27%"
"03.08.2026","2.843,00","2.843,00","2.843,00","2.843,00","","4,06%"
"31.07.2026","2.732,00","2.732,00","2.732,00","2.732,00","","2,21%"
"30.07.2026","2.673,00","2.673,00","2.673,00","2.673,00","","1,56%"
"29.07.2026","2.632,00","2.632,00","2.632,00","2.632,00","","-1,20%"
"28.07.2026","2.664,00","2.664,00","2.664,00","2.664,00","","-1,19%"
"27.07.2026","2.696,00","2.696,00","2.696,00","2.696,00","","-1,71%"
"24.07.2026","2.743,00","2.743,00","2.743,00","2.743,00","","0,66%"
"23.07.2026","2.725,00","2.725,00","2.725,00","2.725,00","","0,37%"
"22.07.2026","2.715,00","2.715,00","2.715,00","2.715,00","","1,69%"
"21.07.2026","2.670,00","2.670,00","2.670,00","2.670,00","","-0,04%"
"20.07.2026","2.671,00","2.671,00","2.671,00","2.671,00","","-2,94%"
"17.07.2026","2.752,00","2.752,00","2.752,00","2.752,00","","-3,10%"
"16.07.2026","2.840,00","2.840,00","2.840,00","2.840,00","","-3,04%"
"15.07.2026","2.929,00","2.929,00","2.929,00","2.929,00","","-1,71%"
"14.07.2026","2.980,00","2.980,00","2.980,00","2.980,00","","0,68%"
"13.07.2026","2.960,00","2.960,00","2.960,00","2.960,00","","0,54%"
